mRNA	lncRNA	pcc	adjp
ENSMUSG00000023349.14	ENSMUSG00000085242.1	0.997728124172	5.99438518954e-05
ENSMUSG00000023349.14	ENSMUSG00000085588.1	0.997728124172	5.99438518954e-05
ENSMUSG00000023349.14	ENSMUSG00000085628.4	0.997728124172	5.99438518954e-05
ENSMUSG00000023349.14	ENSMUSG00000085717.1	0.997728124172	5.99438518954e-05
ENSMUSG00000023349.14	ENSMUSG00000085733.1	0.997728124172	5.99438518954e-05
ENSMUSG00000023349.14	ENSMUSG00000085753.1	0.997728124172	5.99438518954e-05
ENSMUSG00000023349.14	ENSMUSG00000085761.1	0.997728124172	5.99438518954e-05
ENSMUSG00000023349.14	ENSMUSG00000085808.1	0.997728124172	5.99438518954e-05
ENSMUSG00000023349.14	ENSMUSG00000085856.1	0.997728124172	5.99438518954e-05
ENSMUSG00000023349.14	ENSMUSG00000086007.1	0.997728124172	5.99438518954e-05
ENSMUSG00000023349.14	ENSMUSG00000086472.1	0.997728124172	5.99438518954e-05
ENSMUSG00000023349.14	ENSMUSG00000086522.1	0.997728124172	5.99438518954e-05
ENSMUSG00000023349.14	ENSMUSG00000086547.1	0.997728124172	5.99438518954e-05
ENSMUSG00000023349.14	ENSMUSG00000086620.1	0.997728124172	5.99438518954e-05
ENSMUSG00000023349.14	ENSMUSG00000087058.1	0.997728124172	5.99438518954e-05
ENSMUSG00000023349.14	ENSMUSG00000087102.1	0.997728124172	5.99438518954e-05
ENSMUSG00000023349.14	ENSMUSG00000087245.1	0.997728124172	5.99438518954e-05
ENSMUSG00000023349.14	ENSMUSG00000089710.1	0.997728124172	5.99438518954e-05
ENSMUSG00000023349.14	ENSMUSG00000089874.1	0.997728124172	5.99438518954e-05
ENSMUSG00000023349.14	ENSMUSG00000090017.1	0.997728124172	5.99438518954e-05
ENSMUSG00000023349.14	ENSMUSG00000090081.1	0.997728124172	5.99438518954e-05
ENSMUSG00000023349.14	ENSMUSG00000090227.1	0.997728124172	5.99438518954e-05
ENSMUSG00000023349.14	ENSMUSG00000090248.1	0.997728174614	5.99368910565e-05
ENSMUSG00000023349.14	ENSMUSG00000092267.1	0.997728124172	5.99438518954e-05
ENSMUSG00000023349.14	ENSMUSG00000092283.1	0.997728124172	5.99438518954e-05
ENSMUSG00000023349.14	ENSMUSG00000097005.1	0.997728124172	5.99438518954e-05
ENSMUSG00000023349.14	ENSMUSG00000097074.2	0.997728124172	5.99438518954e-05
ENSMUSG00000023349.14	ENSMUSG00000097370.2	0.997728124172	5.99438518954e-05
ENSMUSG00000023349.14	ENSMUSG00000098233.1	0.997728124172	5.99438518954e-05
ENSMUSG00000023349.14	ENSMUSG00000100572.1	0.997728124172	5.99438518954e-05
ENSMUSG00000023349.14	ENSMUSG00000100760.1	0.997728124172	5.99438518954e-05
ENSMUSG00000023349.14	ENSMUSG00000100807.2	0.996434284036	0.000588327413362
ENSMUSG00000023349.14	ENSMUSG00000100943.1	0.997728124172	5.99438518954e-05
ENSMUSG00000023349.14	ENSMUSG00000102522.1	0.997728124172	5.99438518954e-05
ENSMUSG00000023349.14	ENSMUSG00000102778.1	0.997728124172	5.99438518954e-05
ENSMUSG00000023349.14	ENSMUSG00000102852.1	0.997728124172	5.99438518954e-05
ENSMUSG00000023349.14	ENSMUSG00000103287.1	0.997728124172	5.99438518954e-05
ENSMUSG00000023349.14	ENSMUSG00000103457.1	0.997728124172	5.99438518954e-05
ENSMUSG00000023349.14	ENSMUSG00000103837.1	0.997728124172	5.99438518954e-05
ENSMUSG00000023349.14	ENSMUSG00000104075.1	0.997728124172	5.99438518954e-05
ENSMUSG00000023349.14	ENSMUSG00000104380.1	0.997728124172	5.99438518954e-05
ENSMUSG00000023349.14	ENSMUSG00000104450.1	0.997728124172	5.99438518954e-05
ENSMUSG00000023349.14	ENSMUSG00000104607.1	0.997728124172	5.99438518954e-05
ENSMUSG00000023349.14	ENSMUSG00000104872.1	0.997728124172	5.99438518954e-05
ENSMUSG00000023349.14	ENSMUSG00000105000.1	0.997728124172	5.99438518954e-05
ENSMUSG00000023349.14	ENSMUSG00000105535.1	0.997728124172	5.99438518954e-05
ENSMUSG00000023349.14	ENSMUSG00000105562.1	0.997728124172	5.99438518954e-05
ENSMUSG00000023349.14	ENSMUSG00000106541.1	0.997728124172	5.99438518954e-05
ENSMUSG00000023349.14	ENSMUSG00000107561.1	0.997728124172	5.99438518954e-05
ENSMUSG00000023349.14	ENSMUSG00000107795.1	0.997728124172	5.99438518954e-05
ENSMUSG00000023349.14	ENSMUSG00000108148.1	0.997728124172	5.99438518954e-05
ENSMUSG00000023349.14	ENSMUSG00000108428.1	0.997728124172	5.99438518954e-05
ENSMUSG00000023349.14	ENSMUSG00000108644.1	0.997728124172	5.99438518954e-05
ENSMUSG00000023349.14	ENSMUSG00000108871.1	0.997728124172	5.99438518954e-05
ENSMUSG00000023349.14	ENSMUSG00000108979.1	0.997728124172	5.99438518954e-05
ENSMUSG00000023349.14	ENSMUSG00000109248.1	0.997728124172	5.99438518954e-05
ENSMUSG00000023349.14	ENSMUSG00000109366.1	0.997728124172	5.99438518954e-05
